MinTemp,MaxTemp,Evaporation,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday
8,24.3,3.4,68,29,14.4,23.6,0
14,26.9,4.4,80,36,17.5,25.7,1
13.7,23.4,5.8,82,69,15.4,20.2,1
13.3,15.5,7.2,62,56,13.5,14.1,1
7.6,16.1,5.6,68,49,11.1,15.4,1
6.2,16.9,5.8,70,57,10.9,14.8,0
6.1,18.2,4.2,63,47,12.4,17.3,0
8.3,17,5.6,65,57,12.1,15.5,0
8.8,19.5,4,70,48,14.1,18.9,0
8.4,22.8,5.4,82,32,13.3,21.7,1
9.1,25.2,4.2,74,34,14.6,24,0
8.5,27.3,7.2,54,35,16.8,26,0
10.1,27.9,7.2,62,29,17,27.1,0
12.1,30.9,6.2,67,20,19.7,30.7,0
10.1,31.2,8.8,45,16,18.7,30.4,0
12.4,32.1,8.4,70,22,19.1,30.7,0
13.8,31.2,7.2,72,23,20.2,29.8,0
11.7,30,7.2,59,26,20.1,28.6,1
12.4,32.3,7.4,60,25,20.2,31.2,0
15.6,33.4,8,61,27,22.8,32,0
15.3,33.4,8.8,60,26,22.2,32.8,0
16.4,19.4,9.2,88,72,16.5,18.3,0
12.8,18.5,2.8,91,79,14,16.8,1
12,24.3,1.2,74,57,17.8,22.8,0
15.4,28.4,4.4,85,31,16.8,27.3,0
15.6,26.9,6.8,65,48,19.8,25.1,0
13.3,22.2,6.6,70,55,16.5,21.2,0
12.9,28,4.4,61,31,18.8,26.7,0
15.1,24.3,7,69,80,18.9,19.7,0
13.6,24.1,2.6,83,49,17.3,23.2,0
15.1,20.4,2.4,82,90,17,16.3,1
11.6,26.3,1.6,66,46,16.7,25.2,1
16.6,24.2,6.6,72,60,20.5,19.9,0
13.3,26.5,3.8,74,40,18.8,25.1,1
14.5,21.8,8.4,69,63,18.6,20.5,0
16.3,26.8,6,78,54,18.6,24.5,0
17.2,25.8,4.2,70,74,21.5,22.6,0
16.5,28.2,4.2,76,42,18,26.3,1
15,29.4,6.6,78,24,20.6,28.6,0
14.9,24.8,10.4,58,37,19.3,22.9,0
11.8,18.5,4.8,60,63,13.8,16.4,0
11.7,21.5,4.2,66,51,15.7,19.4,0
9.6,20.3,5,70,49,15.8,19.2,0
8.9,27.1,4.4,63,37,15.8,25,0
10.1,29.9,6.8,63,36,17.4,29.1,0
15.5,21.1,6.4,93,86,16.6,20,1
10.8,21.7,2.8,59,40,15.3,20.8,1
7.5,20.9,6.6,61,43,15.3,19.8,0
12.8,21,6.4,72,54,16.1,20,0
12.6,23.1,1.6,97,74,15.3,20.4,1
14.8,29.5,1.8,81,48,21,28.2,1
19.9,22,4.4,92,62,20.6,19.6,1
9.2,20.4,7.8,59,49,14.9,18.8,1
12.4,24.4,6.2,69,43,15,22.5,0
11.3,21.7,8.2,67,52,12.4,21,1
9.8,26.3,5.2,63,35,15.3,23.9,0
14.3,26.7,7.2,68,64,19.8,19,0
15.1,28.3,8.8,73,44,18.3,27.4,1
14.4,31.6,6.6,65,30,21.5,30.3,0
15.4,35,9.6,55,18,23.4,34.3,0
13.8,33.5,11.4,44,20,21.9,32.2,0
13.6,34.2,8.8,50,20,21.9,31.8,0
14.3,35,7.6,43,14,23,33.6,0
15.9,23.4,12.6,69,55,19.2,22.3,0
16.7,25.3,6.2,56,45,20.3,23.9,0
12.1,27.5,7.4,69,40,18.6,26.8,0
14.3,34.1,6.6,77,34,18.9,31.9,0
16.5,33.9,9,60,36,20.8,31.3,0
16.5,30.3,10,77,44,18.1,28,0
17.5,29.9,6.6,74,45,19.3,27.9,0
14.7,34.2,6.6,64,25,21.3,32.2,0
17.5,35.8,9.4,56,24,24.7,34.5,0
20.9,35.7,13.8,61,28,23.6,34,0
17,33.8,9,65,35,23,31.8,1
16,22.8,12.4,70,57,17,21.6,0
15.4,33.8,5.2,70,26,18,31.7,0
17.9,33.2,10.4,58,62,24.5,23.5,0
15.2,25.1,6.4,62,42,17.1,23.9,1
15.1,20.4,9.6,63,55,17.8,19.4,0
15.3,19.6,5,92,88,18,18.6,1
17.2,24.7,1.4,80,71,19.4,21.9,1
15.9,19.9,5.6,73,58,17.4,18.6,0
10,22.5,4.4,55,46,14.7,22.2,0
9.9,24.4,5.8,60,38,16.2,22.7,0
10.3,27.8,6.4,64,29,17,26.3,0
15.4,25.7,6.8,67,32,17.6,24.6,0
12.7,28.8,7.4,70,28,18.3,28.3,0
13.2,31.3,6.6,71,28,19.7,30.7,0
15.3,33.2,9.4,60,18,22.4,32.1,0
17.9,33.9,10.4,72,22,19.8,32.3,0
18,34.9,9.2,68,29,22.2,33.1,0
17.6,27.8,10.2,66,49,21.4,26.3,1
16,23.8,5.4,73,49,16.5,22.9,1
14.9,28.8,5.8,71,44,19.1,27,0
17.1,29.6,5.8,67,38,21.7,29.1,0
18.2,22.6,8,92,76,18.5,22.1,1
16.8,22.8,2.8,88,71,18.4,21.5,1
13.6,27.4,2.8,77,41,18.7,26.5,0
14.5,24.2,6.8,76,76,17.9,20.3,0
12.4,19.9,5.4,75,58,13.6,18.7,1
10.4,20.9,4,65,51,13.8,18.7,0
9.1,23.1,5.8,66,37,14,21.4,0
8.9,26,5,74,34,14.6,24.2,0
14.5,24.2,6.6,95,60,15.8,22.6,1
12.6,18.2,3.2,81,73,16.3,16.8,1
8.6,24.2,2.8,63,37,13.7,22,0
10.8,25.2,5.6,69,32,15,24.3,0
11.2,26.1,7.2,71,40,15.3,24.7,0
